	protein	scores	predict result
79	allergen_1138	0.82137531042099	allergenicity
80	non-allergen_2840	0.06888877600431442	non-allergenicity
81	allergen_2123	0.9999508857727051	allergenicity
82	non-allergen_22043	0.9993624091148376	allergenicity
83	non-allergen_12393	0.0027554607950150967	non-allergenicity
84	non-allergen_12275	0.34893307089805603	non-allergenicity
85	non-allergen_9389	0.0021340642124414444	non-allergenicity
86	allergen_1347	0.9997760653495789	allergenicity
87	non-allergen_19278	0.660666286945343	allergenicity
88	allergen_3338	0.9823722243309021	allergenicity
89	allergen_884	0.977836012840271	allergenicity
90	allergen_539	0.9999996423721313	allergenicity
91	allergen_3208	0.9999160766601562	allergenicity
92	non-allergen_9144	0.00020523162675090134	non-allergenicity
93	allergen_1278	0.9997740387916565	allergenicity
94	non-allergen_14740	0.2202320694923401	non-allergenicity
95	allergen_18	0.9985742568969727	allergenicity
96	allergen_3305	0.00904933549463749	non-allergenicity
97	non-allergen_11158	0.0030629232060164213	non-allergenicity
98	non-allergen_20609	0.11897940933704376	non-allergenicity
99	allergen_3097	0.9355437159538269	allergenicity
100	allergen_1139	0.987203061580658	allergenicity
101	non-allergen_22484	3.635233952081762e-05	non-allergenicity
102	non-allergen_1079	0.018202314153313637	non-allergenicity
103	non-allergen_15700	0.24270014464855194	non-allergenicity
104	allergen_2897	0.9907971620559692	allergenicity
105	allergen_2211	0.9977914094924927	allergenicity
106	allergen_2248	0.9960869550704956	allergenicity
107	non-allergen_11505	0.0007000413024798036	non-allergenicity
108	non-allergen_1354	3.891618689522147e-05	non-allergenicity
109	allergen_1715	0.9970719814300537	allergenicity
110	allergen_2588	0.9974036812782288	allergenicity
111	non-allergen_91	0.5327878594398499	allergenicity
112	allergen_2733	0.9201675653457642	allergenicity
113	allergen_3542	0.9998722076416016	allergenicity
114	allergen_591	0.9999487400054932	allergenicity
115	allergen_3530	0.8964873552322388	allergenicity
116	allergen_432	0.9995719790458679	allergenicity
117	non-allergen_7641	0.20494960248470306	non-allergenicity
118	allergen_3090	0.9874628186225891	allergenicity
119	non-allergen_38216	4.367127257864922e-05	non-allergenicity
120	non-allergen_5918	0.019655831158161163	non-allergenicity
121	non-allergen_3358	0.7168403267860413	allergenicity
122	non-allergen_6753	0.22612175345420837	non-allergenicity
123	non-allergen_28900	0.01561274379491806	non-allergenicity
124	non-allergen_3348	0.3319232165813446	non-allergenicity
125	allergen_178	0.887053370475769	allergenicity
126	allergen_2938	0.9999997615814209	allergenicity
127	allergen_1358	0.9999133348464966	allergenicity
128	allergen_2267	0.9999998807907104	allergenicity
129	non-allergen_11668	0.009434587322175503	non-allergenicity
130	non-allergen_6407	0.2457726001739502	non-allergenicity
131	allergen_1799	0.9825376868247986	allergenicity
132	non-allergen_363	0.00013034827134106308	non-allergenicity
133	allergen_1334	0.9999996423721313	allergenicity
134	non-allergen_27493	0.0015017519472166896	non-allergenicity
135	non-allergen_19986	0.03738263249397278	non-allergenicity
136	allergen_1316	0.9951295852661133	allergenicity
137	allergen_1069	0.9955915808677673	allergenicity
138	non-allergen_10286	0.00336122652515769	non-allergenicity
139	non-allergen_9510	0.31846460700035095	non-allergenicity
140	non-allergen_17321	0.0001083611641661264	non-allergenicity
141	non-allergen_11751	0.0029560879338532686	non-allergenicity
142	non-allergen_21840	0.07099887728691101	non-allergenicity
143	non-allergen_28569	0.0014700692845508456	non-allergenicity
144	non-allergen_18511	0.010100350715219975	non-allergenicity
145	allergen_2700	0.9937373399734497	allergenicity
146	non-allergen_31234	2.9996399462106638e-06	non-allergenicity
147	non-allergen_1358	0.0022932901047170162	non-allergenicity
148	non-allergen_34622	0.23792137205600739	non-allergenicity
149	non-allergen_31710	0.5400596261024475	allergenicity
150	non-allergen_21125	0.001127221155911684	non-allergenicity
151	non-allergen_19744	0.5365433096885681	allergenicity
152	allergen_1686	0.9889965057373047	allergenicity
153	allergen_3310	0.9992976188659668	allergenicity
154	non-allergen_2348	0.9029656648635864	allergenicity
155	allergen_3438	0.9906021356582642	allergenicity
156	allergen_259	1.0	allergenicity
157	non-allergen_16978	0.028278859332203865	non-allergenicity
158	allergen_1126	0.9999998807907104	allergenicity
159	allergen_1078	0.9998764991760254	allergenicity
160	non-allergen_3483	0.00017472883337177336	non-allergenicity
161	allergen_707	0.9907949566841125	allergenicity
162	allergen_2014	0.9999892711639404	allergenicity
163	non-allergen_25071	0.010967245325446129	non-allergenicity
164	non-allergen_35054	0.11779166758060455	non-allergenicity
165	allergen_588	0.9408712983131409	allergenicity
166	non-allergen_17308	0.028336359187960625	non-allergenicity
167	non-allergen_5097	0.001788340974599123	non-allergenicity
168	non-allergen_30052	0.045886196196079254	non-allergenicity
169	allergen_3504	0.9999178647994995	allergenicity
170	non-allergen_9347	0.0055210767313838005	non-allergenicity
171	allergen_1844	0.9930030703544617	allergenicity
172	non-allergen_27338	0.11844930052757263	non-allergenicity
173	non-allergen_15187	0.2055024802684784	non-allergenicity
174	allergen_1211	0.9952919483184814	allergenicity
175	allergen_2955	0.9999959468841553	allergenicity
176	allergen_2038	0.9999967813491821	allergenicity
177	allergen_1956	0.9998652935028076	allergenicity
178	non-allergen_16501	0.002792416140437126	non-allergenicity
179	non-allergen_14465	0.04080581292510033	non-allergenicity
180	non-allergen_38197	0.5590227246284485	allergenicity
181	allergen_2848	0.9698818325996399	allergenicity
182	non-allergen_12786	0.8456541895866394	allergenicity
183	allergen_1066	0.09895406663417816	non-allergenicity
184	allergen_3145	0.9957773685455322	allergenicity
185	non-allergen_25549	0.00012893186067231	non-allergenicity
186	allergen_2310	0.9965645670890808	allergenicity
187	non-allergen_38323	0.00015792265185154974	non-allergenicity
188	non-allergen_22217	0.009247968904674053	non-allergenicity
189	allergen_3304	0.00013915238378103822	non-allergenicity
190	non-allergen_29934	0.9858365058898926	allergenicity
191	non-allergen_35799	0.19934672117233276	non-allergenicity
192	non-allergen_32611	0.11142929643392563	non-allergenicity
193	non-allergen_23470	0.9297147393226624	allergenicity
194	non-allergen_28906	0.022884797304868698	non-allergenicity
195	non-allergen_32812	0.4249049723148346	non-allergenicity
196	non-allergen_22553	0.0005408440483734012	non-allergenicity
197	allergen_1961	0.9939946532249451	allergenicity
198	non-allergen_34169	0.004845274146646261	non-allergenicity
199	allergen_1668	0.9999865293502808	allergenicity
200	allergen_2953	0.9999997615814209	allergenicity
201	allergen_813	0.13315944373607635	non-allergenicity
202	allergen_88	0.9928343296051025	allergenicity
203	non-allergen_19746	0.20600168406963348	non-allergenicity
204	non-allergen_26136	0.003640724578872323	non-allergenicity
205	allergen_644	0.9973064661026001	allergenicity
206	non-allergen_11763	0.0046224044635891914	non-allergenicity
207	allergen_1269	0.9994505047798157	allergenicity
208	allergen_977	0.9678463339805603	allergenicity
209	allergen_1222	0.9996067881584167	allergenicity
210	allergen_2439	0.9996399879455566	allergenicity
211	non-allergen_29178	0.6480422616004944	allergenicity
212	allergen_2485	0.9922615885734558	allergenicity
213	allergen_3228	0.9946553707122803	allergenicity
214	allergen_134	0.999711811542511	allergenicity
215	allergen_3126	0.8945841789245605	allergenicity
216	non-allergen_28177	0.001035669818520546	non-allergenicity
217	non-allergen_33364	0.6576223373413086	allergenicity
218	non-allergen_36009	0.6173220872879028	allergenicity
219	non-allergen_11308	0.013508953154087067	non-allergenicity
220	allergen_366	0.9995158910751343	allergenicity
221	allergen_2967	0.9999992847442627	allergenicity
222	non-allergen_34643	0.007664438337087631	non-allergenicity
223	allergen_2556	0.9948476552963257	allergenicity
224	non-allergen_999	0.01304809469729662	non-allergenicity
225	non-allergen_10914	0.004999188240617514	non-allergenicity
226	allergen_1672	0.999853253364563	allergenicity
227	allergen_709	0.9994797110557556	allergenicity
228	non-allergen_23740	0.2230391651391983	non-allergenicity
229	allergen_2972	0.9999988079071045	allergenicity
230	non-allergen_22385	0.37300196290016174	non-allergenicity
231	allergen_1394	0.9999991655349731	allergenicity
232	allergen_1300	0.9995267391204834	allergenicity
233	non-allergen_40498	0.0032537563238292933	non-allergenicity
234	allergen_1487	0.9999991655349731	allergenicity
235	allergen_1812	0.999018669128418	allergenicity
236	non-allergen_19648	0.006190143991261721	non-allergenicity
237	allergen_1314	0.9759871959686279	allergenicity
238	allergen_839	0.9997604489326477	allergenicity
239	allergen_1696	0.9997962117195129	allergenicity
240	non-allergen_23978	0.6339328289031982	allergenicity
241	allergen_1000	0.9987404942512512	allergenicity
242	allergen_718	0.9999940395355225	allergenicity
243	allergen_2977	0.9771236181259155	allergenicity
244	non-allergen_7567	0.14175373315811157	non-allergenicity
245	non-allergen_15231	0.698245644569397	allergenicity
246	non-allergen_2523	0.009506622329354286	non-allergenicity
247	non-allergen_7335	0.001419940497726202	non-allergenicity
248	allergen_1629	0.9828552007675171	allergenicity
249	allergen_3418	0.9540237784385681	allergenicity
250	non-allergen_27147	0.9230276346206665	allergenicity
251	non-allergen_33735	5.6492226576665416e-05	non-allergenicity
252	non-allergen_25254	0.3865914046764374	non-allergenicity
253	non-allergen_14242	0.15915468335151672	non-allergenicity
254	non-allergen_18706	0.0016710635973140597	non-allergenicity
255	allergen_2623	1.0	allergenicity
256	allergen_534	0.9992608428001404	allergenicity
257	allergen_1329	0.9998124241828918	allergenicity
258	non-allergen_25716	0.04276964068412781	non-allergenicity
259	non-allergen_36341	7.204614666989073e-05	non-allergenicity
260	allergen_1575	0.9987799525260925	allergenicity
261	non-allergen_38075	0.002276897430419922	non-allergenicity
262	allergen_1908	0.9974446296691895	allergenicity
263	allergen_2105	0.9999982118606567	allergenicity
264	non-allergen_40143	0.13227111101150513	non-allergenicity
265	allergen_2277	0.9888908863067627	allergenicity
266	non-allergen_33422	0.029746850952506065	non-allergenicity
267	allergen_1717	0.9999181032180786	allergenicity
268	non-allergen_13521	7.453717262251303e-05	non-allergenicity
269	non-allergen_29231	0.010213675908744335	non-allergenicity
270	non-allergen_31375	0.0005216181743890047	non-allergenicity
271	allergen_3538	0.9997641444206238	allergenicity
272	non-allergen_14041	0.012576572597026825	non-allergenicity
273	non-allergen_9740	0.0014378293417394161	non-allergenicity
274	allergen_2570	0.9976736903190613	allergenicity
275	non-allergen_9852	0.006385530810803175	non-allergenicity
276	non-allergen_36558	0.0007101805531419814	non-allergenicity
277	non-allergen_6841	0.011479705572128296	non-allergenicity
278	allergen_2229	0.9917718768119812	allergenicity
279	allergen_183	0.9999958276748657	allergenicity
280	non-allergen_11466	0.04372124746441841	non-allergenicity
281	allergen_2804	0.9996320009231567	allergenicity
282	allergen_89	0.010019992478191853	non-allergenicity
283	allergen_3515	0.9999598264694214	allergenicity
284	non-allergen_32101	0.19208523631095886	non-allergenicity
285	allergen_2057	0.9999973773956299	allergenicity
286	non-allergen_22084	0.003335530636832118	non-allergenicity
287	allergen_652	0.9999990463256836	allergenicity
288	allergen_329	0.8937209844589233	allergenicity
289	allergen_1395	0.9991753697395325	allergenicity
290	allergen_1835	0.9890385866165161	allergenicity
291	allergen_1788	0.9999991655349731	allergenicity
292	allergen_59	0.9999991655349731	allergenicity
293	allergen_922	0.9501820206642151	allergenicity
294	non-allergen_21140	2.0514535208349116e-05	non-allergenicity
295	non-allergen_26143	0.4994593858718872	non-allergenicity
296	non-allergen_13890	0.007321880664676428	non-allergenicity
297	allergen_3095	0.7675132751464844	allergenicity
298	allergen_1276	0.9858285188674927	allergenicity
299	non-allergen_22396	0.005603278521448374	non-allergenicity
300	allergen_1931	0.2786519229412079	non-allergenicity
301	allergen_2847	0.9999996423721313	allergenicity
302	non-allergen_15615	0.03573981299996376	non-allergenicity
303	non-allergen_1452	0.7938158512115479	allergenicity
304	non-allergen_36759	0.00037404103204607964	non-allergenicity
305	non-allergen_14869	0.6989880800247192	allergenicity
306	non-allergen_32042	0.019476184621453285	non-allergenicity
307	allergen_3352	0.8059571385383606	allergenicity
308	non-allergen_12273	0.020243678241968155	non-allergenicity
309	allergen_3134	0.9748854041099548	allergenicity
310	allergen_3339	0.926405131816864	allergenicity
311	allergen_3217	0.4327141046524048	non-allergenicity
312	non-allergen_21450	0.3758080303668976	non-allergenicity
313	non-allergen_9361	0.0016824539052322507	non-allergenicity
314	non-allergen_18642	0.03832438215613365	non-allergenicity
315	allergen_3139	0.9985164999961853	allergenicity
316	allergen_1234	0.9999314546585083	allergenicity
317	non-allergen_816	0.12383989244699478	non-allergenicity
318	allergen_634	0.9999921321868896	allergenicity
319	allergen_1990	0.9816769361495972	allergenicity
320	allergen_874	0.991902768611908	allergenicity
321	non-allergen_8523	0.06288965791463852	non-allergenicity
322	allergen_2905	0.9990099668502808	allergenicity
323	allergen_1662	0.9999866485595703	allergenicity
324	non-allergen_9652	0.8857811689376831	allergenicity
325	allergen_49	0.9837108254432678	allergenicity
326	non-allergen_1338	0.0019144570687785745	non-allergenicity
327	non-allergen_5183	0.019077692180871964	non-allergenicity
328	non-allergen_26296	1.7764163203537464e-05	non-allergenicity
329	allergen_1414	0.9999994039535522	allergenicity
330	allergen_1983	0.9999997615814209	allergenicity
331	non-allergen_5599	0.5502141118049622	allergenicity
332	non-allergen_8769	0.02211308851838112	non-allergenicity
333	non-allergen_34198	0.15786363184452057	non-allergenicity
334	allergen_1684	0.9999996423721313	allergenicity
335	non-allergen_40423	0.9816985130310059	allergenicity
336	non-allergen_29736	0.04026166722178459	non-allergenicity
337	allergen_1533	0.9998520612716675	allergenicity
338	allergen_953	0.9999854564666748	allergenicity
339	non-allergen_26560	0.9892739653587341	allergenicity
340	allergen_3401	0.9457865953445435	allergenicity
341	non-allergen_18251	0.11049173027276993	non-allergenicity
342	non-allergen_23356	0.06439044326543808	non-allergenicity
343	allergen_1356	0.13404667377471924	non-allergenicity
344	allergen_2571	0.9809189438819885	allergenicity
345	non-allergen_15880	0.15794584155082703	non-allergenicity
346	non-allergen_1058	0.3178044259548187	non-allergenicity
347	non-allergen_23037	0.3524912893772125	non-allergenicity
348	non-allergen_4503	0.8613137006759644	allergenicity
349	non-allergen_26261	0.0007946172263473272	non-allergenicity
350	non-allergen_30624	0.934584379196167	allergenicity
351	non-allergen_10429	0.20736081898212433	non-allergenicity
352	non-allergen_20898	0.04561261832714081	non-allergenicity
353	non-allergen_27889	0.0027092678938061	non-allergenicity
354	non-allergen_29551	0.008013131096959114	non-allergenicity
355	allergen_2460	0.9976955056190491	allergenicity
356	non-allergen_14556	0.004331551492214203	non-allergenicity
357	allergen_2609	0.9991744160652161	allergenicity
358	non-allergen_18170	0.22719430923461914	non-allergenicity
359	allergen_2699	0.9934095144271851	allergenicity
360	allergen_2179	0.9997199177742004	allergenicity
361	allergen_4	0.9853620529174805	allergenicity
362	non-allergen_22439	0.17045915126800537	non-allergenicity
363	non-allergen_20172	0.40088436007499695	non-allergenicity
364	allergen_1942	0.9998102784156799	allergenicity
365	allergen_3094	0.8741652965545654	allergenicity
366	non-allergen_32298	0.017139703035354614	non-allergenicity
367	allergen_1940	0.9999994039535522	allergenicity
368	allergen_2649	1.0	allergenicity
369	allergen_2918	1.0	allergenicity
370	non-allergen_36756	7.460091637767619e-07	non-allergenicity
371	allergen_1001	0.6733876466751099	allergenicity
372	allergen_3015	0.11699081212282181	non-allergenicity
373	non-allergen_7322	0.919617772102356	allergenicity
374	non-allergen_39882	0.7278387546539307	allergenicity
375	allergen_2169	0.995824933052063	allergenicity
376	allergen_2724	0.9996100068092346	allergenicity
377	non-allergen_34214	0.14910146594047546	non-allergenicity
378	non-allergen_7747	0.27911290526390076	non-allergenicity
379	non-allergen_22798	0.013229629956185818	non-allergenicity
380	non-allergen_20944	0.006881678476929665	non-allergenicity
381	non-allergen_32040	0.8255237340927124	allergenicity
382	allergen_300	0.9999957084655762	allergenicity
383	non-allergen_4262	3.2397663744632155e-05	non-allergenicity
384	allergen_890	0.9996047616004944	allergenicity
385	allergen_795	0.9999929666519165	allergenicity
386	non-allergen_40032	0.002195813925936818	non-allergenicity
387	non-allergen_9257	0.0016805152408778667	non-allergenicity
388	allergen_103	0.999914288520813	allergenicity
389	allergen_276	0.9908425807952881	allergenicity
390	allergen_358	0.9999998807907104	allergenicity
391	allergen_1819	0.9977734684944153	allergenicity
392	non-allergen_32057	0.3936704099178314	non-allergenicity
393	non-allergen_15148	0.10540664196014404	non-allergenicity
394	allergen_3009	0.8808655142784119	allergenicity
395	non-allergen_1469	0.09407582879066467	non-allergenicity
396	allergen_1456	0.9999998807907104	allergenicity
397	non-allergen_38200	0.7671180963516235	allergenicity
398	non-allergen_36717	0.008657807484269142	non-allergenicity
399	allergen_841	0.9998078942298889	allergenicity
400	non-allergen_1629	0.4993290305137634	non-allergenicity
401	non-allergen_28868	0.2466200739145279	non-allergenicity
402	allergen_2278	0.9959130883216858	allergenicity
403	non-allergen_36566	0.03316054120659828	non-allergenicity
404	non-allergen_24476	0.7019085884094238	allergenicity
405	allergen_1704	0.9722836017608643	allergenicity
406	allergen_2861	0.9996515512466431	allergenicity
407	non-allergen_29812	0.08644037693738937	non-allergenicity
408	non-allergen_25514	0.4554709494113922	non-allergenicity
409	allergen_1565	0.9938623905181885	allergenicity
410	non-allergen_24631	0.0981224849820137	non-allergenicity
411	allergen_151	0.9984645843505859	allergenicity
412	allergen_2161	0.9999216794967651	allergenicity
413	allergen_2300	0.9840732216835022	allergenicity
414	allergen_441	1.0	allergenicity
415	non-allergen_3046	0.015493993647396564	non-allergenicity
416	non-allergen_23617	0.00021780531096737832	non-allergenicity
417	non-allergen_7143	0.719063401222229	allergenicity
418	allergen_721	0.9998155236244202	allergenicity
419	non-allergen_28979	0.9844210147857666	allergenicity
420	non-allergen_20872	0.9536327123641968	allergenicity
421	allergen_445	0.9963904023170471	allergenicity
422	non-allergen_20984	0.003986766561865807	non-allergenicity
423	allergen_867	0.9999111890792847	allergenicity
424	non-allergen_13303	0.0071085370145738125	non-allergenicity
425	allergen_587	0.9971904158592224	allergenicity
426	non-allergen_5084	0.04976522922515869	non-allergenicity
427	non-allergen_19731	0.9375643730163574	allergenicity
428	allergen_3500	0.999963641166687	allergenicity
429	non-allergen_23400	0.9547586441040039	allergenicity
430	allergen_2332	0.999971866607666	allergenicity
431	allergen_1653	0.07508377730846405	non-allergenicity
432	non-allergen_35118	0.00041717119165696204	non-allergenicity
433	allergen_3315	0.8625451922416687	allergenicity
434	allergen_3162	0.9994428753852844	allergenicity
435	non-allergen_24081	0.0005796152981929481	non-allergenicity
436	allergen_643	0.9366278648376465	allergenicity
437	allergen_1863	0.9999970197677612	allergenicity
438	allergen_3267	0.9941431879997253	allergenicity
439	allergen_1207	0.9989762306213379	allergenicity
440	non-allergen_9343	0.7139537334442139	allergenicity
441	non-allergen_1892	0.00084227992920205	non-allergenicity
442	non-allergen_25541	0.03705831244587898	non-allergenicity
443	allergen_2218	0.9709385633468628	allergenicity
444	non-allergen_24478	0.053955692797899246	non-allergenicity
445	allergen_2517	1.0	allergenicity
446	non-allergen_6062	0.014601495116949081	non-allergenicity
447	allergen_2569	0.9948886036872864	allergenicity
448	non-allergen_6334	0.0002593250828795135	non-allergenicity
449	allergen_3038	0.9872947335243225	allergenicity
450	allergen_475	0.999832272529602	allergenicity
451	allergen_2781	0.9940850734710693	allergenicity
452	allergen_2505	0.9939265847206116	allergenicity
453	non-allergen_8598	0.015681833028793335	non-allergenicity
454	non-allergen_2582	0.0004352306423243135	non-allergenicity
455	non-allergen_2736	0.06370226293802261	non-allergenicity
456	allergen_2792	0.999990701675415	allergenicity
457	allergen_1074	0.9870617985725403	allergenicity
458	non-allergen_2379	0.15122751891613007	non-allergenicity
459	non-allergen_5740	0.0014341131318360567	non-allergenicity
460	non-allergen_5177	0.0007497043116018176	non-allergenicity
461	allergen_672	0.9999998807907104	allergenicity
462	allergen_1587	0.999776303768158	allergenicity
463	allergen_1370	0.9999998807907104	allergenicity
464	allergen_3075	0.9990741014480591	allergenicity
465	non-allergen_9010	0.03269822150468826	non-allergenicity
466	non-allergen_36750	0.0003711394383572042	non-allergenicity
467	allergen_3247	0.9982762336730957	allergenicity
468	non-allergen_26182	0.010945098474621773	non-allergenicity
469	non-allergen_7999	0.000409109954489395	non-allergenicity
470	allergen_1421	0.9942482709884644	allergenicity
471	allergen_2279	0.9999960660934448	allergenicity
472	non-allergen_11711	0.00018426429596729577	non-allergenicity
473	non-allergen_36195	0.0009191985009238124	non-allergenicity
474	allergen_1724	0.8193429708480835	allergenicity
475	non-allergen_10174	0.10003283619880676	non-allergenicity
476	non-allergen_33874	0.9726845026016235	allergenicity
477	non-allergen_20852	0.0017237680731341243	non-allergenicity
478	allergen_1762	0.9999992847442627	allergenicity
479	allergen_3232	9.135729487752542e-05	non-allergenicity
480	allergen_2067	0.9999994039535522	allergenicity
481	non-allergen_24396	0.5492644309997559	allergenicity
482	non-allergen_26816	0.015532846562564373	non-allergenicity
483	allergen_337	0.9677045941352844	allergenicity
484	allergen_2585	0.9099757671356201	allergenicity
485	allergen_2945	0.9999984502792358	allergenicity
486	non-allergen_17783	0.0005841188249178231	non-allergenicity
487	non-allergen_9830	0.003230018075555563	non-allergenicity
488	non-allergen_30066	0.0023677104618400335	non-allergenicity
489	allergen_2752	0.9999574422836304	allergenicity
490	non-allergen_28700	0.013639279641211033	non-allergenicity
491	allergen_2157	0.9999995231628418	allergenicity
492	allergen_1490	0.9999048709869385	allergenicity
493	non-allergen_37909	0.4532381594181061	non-allergenicity
494	non-allergen_10227	0.7169319987297058	allergenicity
495	non-allergen_12837	0.13674159348011017	non-allergenicity
496	non-allergen_18189	0.88384610414505	allergenicity
497	non-allergen_22280	0.00020473440235946327	non-allergenicity
498	non-allergen_14733	0.002615850418806076	non-allergenicity
499	allergen_2930	0.9999806880950928	allergenicity
500	non-allergen_10302	0.007717964705079794	non-allergenicity
501	non-allergen_3971	0.01889590173959732	non-allergenicity
502	allergen_725	0.9997437596321106	allergenicity
503	non-allergen_4445	0.004033849108964205	non-allergenicity
504	allergen_498	0.9974122643470764	allergenicity
505	non-allergen_16552	0.9791345596313477	allergenicity
506	allergen_2313	0.9529024362564087	allergenicity
507	allergen_1889	0.9999760389328003	allergenicity
508	non-allergen_35909	0.2681278884410858	non-allergenicity
509	non-allergen_5103	0.1407526433467865	non-allergenicity
510	allergen_112	0.9982831478118896	allergenicity
511	non-allergen_19213	0.0165567547082901	non-allergenicity
512	non-allergen_40129	0.004188341088593006	non-allergenicity
513	allergen_1391	0.9976886510848999	allergenicity
514	allergen_2269	0.9999934434890747	allergenicity
515	non-allergen_14294	0.00039209038368426263	non-allergenicity
516	allergen_85	0.9995548129081726	allergenicity
517	non-allergen_11014	2.7746673367801122e-05	non-allergenicity
518	non-allergen_39918	7.023096259217709e-05	non-allergenicity
519	non-allergen_18413	0.000482262548757717	non-allergenicity
520	allergen_1485	0.9999963045120239	allergenicity
521	non-allergen_23830	0.10198880732059479	non-allergenicity
522	allergen_3067	0.9997565150260925	allergenicity
523	non-allergen_16926	0.0004891243297606707	non-allergenicity
524	non-allergen_18060	0.09313639253377914	non-allergenicity
525	non-allergen_32038	0.1347063034772873	non-allergenicity
526	non-allergen_26811	0.053640272468328476	non-allergenicity
527	non-allergen_15035	0.029133981093764305	non-allergenicity
528	allergen_3470	0.37317198514938354	non-allergenicity
529	non-allergen_9448	0.08251875638961792	non-allergenicity
530	allergen_3452	0.9999145269393921	allergenicity
531	non-allergen_11651	0.3374432921409607	non-allergenicity
532	non-allergen_12071	0.03779188543558121	non-allergenicity
533	non-allergen_10252	0.0007145644049160182	non-allergenicity
534	non-allergen_31963	0.989330530166626	allergenicity
535	non-allergen_36716	0.1409391462802887	non-allergenicity
536	allergen_811	0.9999983310699463	allergenicity
537	allergen_746	0.9999933242797852	allergenicity
538	allergen_3016	0.07679013907909393	non-allergenicity
539	allergen_3373	0.9561497569084167	allergenicity
540	allergen_1730	0.9967959523200989	allergenicity
